Target,SMA [kpc],color [mag / arcs2],pos_err,neg_err,,,
XMM1229,1.09E+00,6.14E-01,9.21E-02,9.80E-02,,,
XMM1229,6.01E+00,7.07E-01,4.65E-02,4.80E-02,,,
XMM1229,8.48E+01,6.88E-01,4.06E-02,4.17E-02,,,
SPT2106,4.14E+00,5.00E-01,2.72E-02,2.77E-02,,,
SPT2106,2.40E+01,4.92E-01,3.52E-02,3.61E-02,,,
SPT2106,1.27E+02,4.86E-01,2.97E-01,3.83E-01,,,
MOO1142,1.39E+00,8.29E-01,7.11E-02,7.47E-02,,,
MOO1142,1.13E+01,6.80E-01,3.00E-02,3.07E-02,,,
MOO1142,4.75E+01,5.74E-01,1.02E-01,1.10E-01,,,
MOO1142,1.49E+02,4.53E-01,7.81E-01,1.77E+00,,,
RDCS1252,1.14E+00,7.36E-01,8.92E-02,9.48E-02,,,
RDCS1252,4.51E+00,9.01E-01,5.46E-02,5.67E-02,,,
RDCS1252,2.10E+01,8.65E-01,2.65E-02,2.70E-02,,,
RDCS1252,7.10E+01,1.05E+00,9.59E-02,1.03E-01,,,
MOO1014,1.19E+00,6.06E-01,1.03E-01,1.11E-01,,,
MOO1014,7.53E+00,6.42E-01,5.07E-02,5.24E-02,,,
MOO1014,2.15E+01,5.95E-01,3.74E-02,3.84E-02,,,
MOO1014,1.57E+02,2.49E-01,2.37E-01,2.83E-01,,,
SPT0205,1.10E+00,6.77E-01,7.61E-02,8.01E-02,,,
SPT0205,6.02E+00,7.27E-01,5.74E-02,5.96E-02,,,
SPT0205,6.56E+01,6.67E-01,1.53E-01,1.72E-01,,,
XMM2235,1.74E+00,9.78E-01,6.08E-02,6.33E-02,,,
XMM2235,1.40E+01,9.05E-01,3.87E-02,3.97E-02,,,
XMM2235,1.54E+02,5.36E-01,5.39E-01,8.43E-01,,,
SpARCS1049,1.64E+00,1.44E+00,5.02E-02,5.18E-02,,,
SpARCS1049,9.01E+00,1.08E+00,3.49E-02,3.58E-02,,,
SpARCS1049,2.50E+01,7.13E-01,7.80E-02,8.26E-02,,,
SpARCS1049,6.33E+01,3.56E-01,3.19E-01,4.08E-01,,,
IDCS1426,1.13E+00,1.37E+00,7.26E-02,7.62E-02,,,
IDCS1426,6.01E+00,1.26E+00,3.44E-02,3.52E-02,,,
IDCS1426,2.00E+01,1.04E+00,2.18E-02,2.21E-02,,,
IDCS1426,1.22E+02,6.03E-01,1.72E-01,1.95E-01,,,
JKCS041,1.10E+00,1.46E+00,6.80E-02,7.13E-02,,,
JKCS041,8.51E+00,1.43E+00,8.32E-02,8.88E-02,,,
JKCS041,3.35E+01,1.33E+00,5.37E-01,1.05E+00,,,